"Time","Energie_Eclairage","Energie_VMC","Energie_Prises","Energie_Convecteurs"
"2019-03-31-18",9.50475,0,483.589683333333,12465.8119333333
"2019-03-31-19",9.50681666666667,0,483.709016666667,12466.0746
"2019-03-31-20",9.5089,0,483.836866666667,12466.3723166667
"2019-03-31-21",9.51098333333333,0,483.926433333333,12466.7147
"2019-03-31-22",9.51306666666667,0,484.0157,12467.0802333333
"2019-03-31-23",9.51516666666667,0,484.113366666667,12467.5307
"2019-04-01-00",9.51725,0,484.260783333333,12468.12075
"2019-04-01-01",9.51931666666667,0,484.350016666667,12468.85025
"2019-04-01-02",9.52138333333333,0,484.438816666667,12469.7760833333
"2019-04-01-03",9.52348333333333,0,484.528933333333,12470.9443833333
"2019-04-01-04",9.52558333333333,0,484.673683333333,12472.4442
"2019-04-01-05",9.52765,0,484.76985,12474.2665666667
"2019-04-01-06",9.52975,0,484.857483333333,12476.4700833333
"2019-04-01-07",9.53186666666667,0,484.946116666667,12479.0283833333
"2019-04-01-08",9.53405,0,485.091716666667,12481.9838666667
"2019-04-01-09",9.53663333333333,0,485.240133333333,12485.1382333333
"2019-04-01-10",9.53921666666667,0,485.522,12488.13735
"2019-04-01-11",9.54175,0,485.762166666667,12490.95355
"2019-04-01-12",9.54406666666667,0,485.8918,12493.47415
"2019-04-01-13",9.5464,0,486.103483333333,12495.6732166667
"2019-04-01-14",9.54872131147541,0,486.553770491803,12497.5159180328
"2019-04-01-15",9.55628333333333,0,487.07805,12498.8500666667
"2019-04-01-16",9.57516666666667,0,487.559,12499.7616833333
"2019-04-01-17",9.5916,0,487.823016666667,12500.4004166667
"2019-04-01-18",9.5952,0,487.913933333333,12500.9713
"2019-04-01-19",9.59726666666667,0,488.0063,12501.5027333333
"2019-04-01-20",9.59931666666667,0,488.1544,12502.0693
"2019-04-01-21",9.60138333333333,0,488.242816666667,12502.6757666667
"2019-04-01-22",9.60353333333333,0,488.332566666667,12503.3597
"2019-04-01-23",9.60565,0,488.420983333333,12504.1009833333
"2019-04-02-00",9.60773333333333,0,488.546433333333,12504.9602333333
"2019-04-02-01",9.60985,0,488.663716666667,12506.0358666667
"2019-04-02-02",9.61193333333333,0,488.7538,12507.3068166667
"2019-04-02-03",9.61401666666667,0,488.84365,12508.8161166667
"2019-04-02-04",9.61613333333333,0,488.953,12510.6320666667
"2019-04-02-05",9.61825,0,489.089966666667,12512.7248
"2019-04-02-06",9.62036666666667,0,489.178483333333,12515.1050333333
"2019-04-02-07",9.6226,0,489.265983333333,12517.8010166667
"2019-04-02-08",9.62473333333333,0,489.354433333333,12520.8201666667
"2019-04-02-09",9.62683333333333,0,489.537666666667,12524.0298166667
"2019-04-02-10",9.62938333333333,0,489.682033333333,12526.9961666667
"2019-04-02-11",9.6318,0,489.822316666667,12529.8495333333
