"Time","Humidite_Interieur_Sud.mean","Humidite_Interieur_Nord.mean","Humidite_RELATIVE_E4000.mean","Humidite_ABSOLUE_E4000.mean"
"2019-04-17-08",37.0655,36.47775,33,8.19225
"2019-04-17-09",38.375,38.32,33.05,8.2125
"2019-04-17-10",39.37875,41,33.6835,8.37725
"2019-04-17-11",40.23525,40.81075,34,8.4525
"2019-04-17-12",42.55,39.0145,34.8,8.50025
"2019-04-17-13",41.21875,42.17225,35,8.38
"2019-04-17-14",39.84025,42.24375,35,8.38125
"2019-04-17-15",40.91175,42.375,35,8.3985
"2019-04-17-16",39.03475,41.7235,35,8.46275
"2019-04-17-17",37.8505,41.6345,35,8.542
"2019-04-17-18",39.8115,42.7815,35,8.56275
"2019-04-17-19",40.16675,43.39075,35.2665,8.60075
"2019-04-17-20",38.9065,41.09675,36,8.70175
"2019-04-17-21",38.9065,42.24375,36,8.70075
"2019-04-17-22",39.45325,42.24375,36,8.679
"2019-04-17-23",37.44825,42.853,36,8.64
"2019-04-18-00",37.877,42.7815,36,8.595
"2019-04-18-01",37.93925,41.47825,36,8.54325
"2019-04-18-02",36.514,39.8125,35.01675,8.26
"2019-04-18-03",36.64,42.40625,35,8.191
"2019-04-18-04",37.4845,41.88225,35,8.18
"2019-04-18-05",36.4535,42.40625,35,8.16575
"2019-04-18-06",35.9985,40.17075,35,8.13075
"2019-04-18-07",35.5435,40.69475,35,8.1325
"2019-04-18-08",36.52975,40.27075,35.06675,8.16275
"2019-04-18-09",38.2595,42.39525,36,8.38725
"2019-04-18-10",39.5955,42.2585,36.68325,8.52725
"2019-04-18-11",40.33375,43.87325,37.05,8.6115
"2019-04-18-12",41.422,45.6875,36.6165,8.56375
"2019-04-18-13",40.33375,44.45225,36,8.525
"2019-04-18-14",38.52975,44.59375,36,8.5975
"2019-04-18-15",39.37875,46.745,36.4,8.7345
"2019-04-18-16",38.62525,45.39175,37,8.92
"2019-04-18-17",40.299,44.82,37,8.914
"2019-04-18-18",38.0465,45.1085,37,8.91925
"2019-04-18-19",37.31625,45.25,37,8.88925
"2019-04-18-20",39.19775,45.1085,37,8.88925
"2019-04-18-21",37.995,42.24575,37,8.8885
"2019-04-18-22",37.813,41.49325,37,8.854
"2019-04-18-23",37.877,42.9475,37,8.849
