"Time","Mur_Temp_1_1.mean","Mur_Temp_1_2.mean","Mur_Temp_1_3.mean"
"2019-04-04-22",17.47975,15.074,12.3568333333333
"2019-04-04-23",17.43175,14.8745833333333,11.9223333333333
"2019-04-05-00",17.3466666666667,14.6565,11.5484166666667
"2019-04-05-01",17.2351666666667,14.43075,11.18325
"2019-04-05-02",17.1074166666667,14.1949166666667,10.8245
"2019-04-05-03",16.991,13.9563333333333,10.48875
"2019-04-05-04",16.888,13.721,10.1755833333333
"2019-04-05-05",16.793,13.4965,9.88675
"2019-04-05-06",16.6938333333333,13.2830833333333,9.617
"2019-04-05-07",16.5844166666667,13.0805,9.39983333333333
"2019-04-05-08",16.4813333333333,12.8978333333333,9.35958333333333
"2019-04-05-09",16.39725,12.78125,9.64391666666667
"2019-04-05-10",16.2711666666667,12.7699166666667,10.133
"2019-04-05-11",16.2618333333333,12.8561666666667,10.8088333333333
"2019-04-05-12",16.2700833333333,13.06675,11.66375
"2019-04-05-13",16.2771666666667,13.3791666666667,12.504
"2019-04-05-14",16.3558333333333,13.7513333333333,13.3914166666667
"2019-04-05-15",16.4656666666667,14.17825,14.2845833333333
"2019-04-05-16",16.6433333333333,14.64575,15.1309166666667
"2019-04-05-17",16.86,15.12775,15.7488333333333
"2019-04-05-18",17.113,15.5721666666667,16.1135
"2019-04-05-19",17.3284166666667,15.951,16.0468333333333
"2019-04-05-20",17.5106666666667,16.162,15.4255
"2019-04-05-21",17.6685833333333,16.1854166666667,14.8735
"2019-04-05-22",17.7706666666667,16.1140833333333,14.4284166666667
"2019-04-05-23",17.7999166666667,15.99525,14.0306666666667
"2019-04-06-00",17.7865833333333,15.8465833333333,13.6290833333333
"2019-04-06-01",17.7469166666667,15.6675833333333,13.2533333333333
"2019-04-06-02",17.6721666666667,15.4761666666667,12.93975
"2019-04-06-03",17.5796666666667,15.28275,12.6793333333333
"2019-04-06-04",17.4823333333333,15.09725,12.45525
"2019-04-06-05",17.3875833333333,14.9200833333333,12.2278333333333
"2019-04-06-06",17.3068333333333,14.7489166666667,12.00975
"2019-04-06-07",17.2369166666667,14.5853333333333,11.7988333333333
"2019-04-06-08",17.1728333333333,14.439,11.8495
"2019-04-06-09",17.1128333333333,14.3674166666667,12.2058333333333
"2019-04-06-10",17.0814166666667,14.4078333333333,12.81325
"2019-04-06-11",17.09925,14.565,13.5255
"2019-04-06-12",17.1554166666667,14.8254166666667,14.3414166666667
"2019-04-06-13",17.23875,15.16525,15.1306666666667
"2019-04-06-14",17.3685833333333,15.5475833333333,15.7924166666667
"2019-04-06-15",17.5389166666667,15.93125,16.20725
"2019-04-06-16",17.7226666666667,16.2664166666667,16.38725
"2019-04-06-17",17.8940833333333,16.5225,16.2345833333333
"2019-04-06-18",18.0503333333333,16.6601666666667,15.8785833333333
"2019-04-06-19",18.167,16.6880833333333,15.46325
"2019-04-06-20",18.2339166666667,16.64,15.0671666666667
"2019-04-06-21",18.2546666666667,16.5351666666667,14.7535833333333
"2019-04-06-22",18.2280833333333,16.4164166666667,14.4839166666667
"2019-04-06-23",18.1760833333333,16.2824166666667,14.2899166666667
"2019-04-07-00",18.1135,16.1575833333333,14.13675
"2019-04-07-01",18.0415,16.0346666666667,13.943
"2019-04-07-02",17.9805833333333,15.908,13.7339166666667
