"Time","CO2_Interieur_Sud.mean","CO2_Interieur_Nord.mean","CO2_E4000.mean","COV_E4000.mean  x100"
"2019-04-18-03",422.06375,390.43175,416.0105,138.7165
"2019-04-18-04",418.768,401.34425,413.0985,138.0835
"2019-04-18-05",425.01325,402.0695,419.31725,139.2
"2019-04-18-06",425.56275,405.0665,416.75725,137.7
"2019-04-18-07",421.4115,407.96825,418.90125,135.6835
"2019-04-18-08",439.02925,413.73325,437.5895,138.53325
"2019-04-18-09",618.05525,598.36825,614.29425,154.45
"2019-04-18-10",749.532,736.49075,728.04275,157.622
"2019-04-18-11",785.70575,754.10675,755.24275,NA
"2019-04-18-12",745.18125,730.731,735.98475,942.8375
"2019-04-18-13",772.16025,750.91175,745.09875,791.773
"2019-04-18-14",786.77675,761.3335,758.80525,685.34375
"2019-04-18-15",793.70675,773.03475,761.83475,573.4665
"2019-04-18-16",792.42675,764.57625,775.252,518.629
"2019-04-18-17",727.61625,695.2855,710.03875,468.5665
"2019-04-18-18",670.9335,637.39725,650.9905,436.68975
"2019-04-18-19",621.00125,606.25575,617.14675,413.68325
"2019-04-18-20",602,577.6,592.464,396.4665
"2019-04-18-21",572.9865,554.671,575.68525,382.81675
"2019-04-18-22",551.1305,538.0585,563.47325,376.6
"2019-04-18-23",541.64275,531.80275,555.408,368.15
"2019-04-19-00",533.03925,517.932,544.24025,357.433
"2019-04-19-01",535.776,507.723,532.864,343.7
"2019-04-19-02",508.5615,500.432,519.558,327.87825
"2019-04-19-03",517.68975,490.9225,516.496,314.08325
"2019-04-19-04",507.80275,485.0295,505.968,300.0835
"2019-04-19-05",503.12,476.21325,501.94125,286.7335
"2019-04-19-06",495.45575,471.184,492.096,274.93325
"2019-04-19-07",487.84525,465.64275,485.9095,264.4165
"2019-04-19-08",522.37875,493.55025,517.68525,373.26675
"2019-04-19-09",613.15275,599.824,613.696,573.7775
"2019-04-19-10",526.6905,512.20825,498.96225,289.608
"2019-04-19-11",460.4,436.83725,464.322,170.05025
"2019-04-19-12",528.5175,503.31125,521.13075,200.53325
"2019-04-19-13",513.8615,490.64025,511.29075,213.4165
"2019-04-19-14",501.30675,479.79725,502.65625,220.94975
"2019-04-19-15",494.955,470.62375,492.06375,225.76575
"2019-04-19-16",490.25075,465.3655,488.992,231.45
"2019-04-19-17",490.44275,465.09875,490.99175,239.29975
"2019-04-19-18",491.6535,467.29575,490.192,247.5
"2019-04-19-19",496.0215,465.73025,496.90675,255.3335
"2019-04-19-20",498.849,472.26675,498.13325,256.93325
"2019-04-19-21",488.52675,472.63525,498.352,254.2335
"2019-04-19-22",481.37025,474.608,498.00525,251.53325
"2019-04-19-23",476.39375,470.50675,496.416,246.067
"2019-04-20-00",483.21075,472.231,493.55175,240.3
"2019-04-20-01",483.92,465.98375,495.39225,234.38325
"2019-04-20-02",483.936,463.45,487.61075,228.4335
"2019-04-20-03",479.7175,464.04275,483.88775,221.3665
"2019-04-20-04",469.892,455.8185,481.73325,214.4335
"2019-04-20-05",476.944,454.4585,476.1655,207.35025
"2019-04-20-06",458.4565,452.8105,474.8855,200.31675
"2019-04-20-07",468.8855,446.90125,466.9655,192.69975
"2019-04-20-08",459.43475,438.016,457.008,186.61675
"2019-04-20-09",453.21075,433.296,449.984,182.35
"2019-04-20-10",443.91475,423.55725,442.07475,180.18325
"2019-04-20-11",427.32775,419.908,435.712,179.66675
"2019-04-20-12",431.70675,415.73875,428.36275,179.31675
"2019-04-20-13",437.29075,421.376,437.488,182.35
"2019-04-20-14",443.09875,423.21625,442.784,186.817
"2019-04-20-15",441.056,423.1145,439.83475,189.4
"2019-04-20-16",443.37525,417.2715,441.568,193.55
"2019-04-20-17",439.152,421.52025,439.44,195.35
"2019-04-20-18",434.46025,415.297,440.19725,196.7665
"2019-04-20-19",442.176,424.43725,439.472,194.63325
"2019-04-20-20",443.82275,423.41875,442.99725,192.63325
