"Time","Temperature_Interieur_Sud.mean","Temperature_Interieur_Nord.mean","Temperature_E4000.mean","Temperature_ressentie_E4000.mean","Station_Meteo_Text","Mur_Temp_1_1.mean"
"2019-04-01-01",23.291,20.8186666666667,24.295,24.295,9.28666666666667,19.9150833333333
"2019-04-01-02",23.099,20.7363333333333,24.2116666666667,24.2116666666667,8.38833333333333,19.7829166666667
"2019-04-01-03",22.987,20.6643333333333,24.2033333333333,24.2033333333333,7.61333333333333,19.6295833333333
"2019-04-01-04",22.9273333333333,20.5753333333333,24.2,24.2,7.035,19.4555
"2019-04-01-05",22.7983333333333,20.5011666666667,24.2266666666667,24.2266666666667,6.395,19.2746666666667
"2019-04-01-06",22.648,20.4321666666667,24.2933333333333,24.2933333333333,5.795,19.0900833333333
"2019-04-01-07",22.5164166666667,20.3851666666667,24.365,24.365,5.765,18.9085833333333
"2019-04-01-08",22.429,20.3575,24.485,24.485,7.41333333333333,18.7446666666667
"2019-04-01-09",22.3796666666667,20.3443333333333,24.6166666666667,24.6166666666667,10.425,18.63525
"2019-04-01-10",22.2583333333333,20.208,24.5833333333333,24.5833333333333,14.3016393442623,18.5248333333333
"2019-04-01-11",22.2563333333333,20.1256666666667,24.675,24.675,18.5324324324324,18.4673333333333
"2019-04-01-12",22.2306666666667,20.027,24.6066666666667,24.6066666666667,20.3421052631579,18.4346666666667
"2019-04-01-13",22.2316666666667,19.9666666666667,24.5433333333333,24.5433333333333,19.7441176470588,18.4735833333333
"2019-04-01-14",22.5746666666667,20.0128333333333,24.755,24.755,22.8511363636364,18.6436666666667
"2019-04-01-15",22.8560833333333,20.1355,24.9383333333333,24.9383333333333,23.1027777777778,18.8870833333333
"2019-04-01-16",22.9746666666667,20.238,24.9016666666667,24.9016666666667,23.3693548387097,19.14825
"2019-04-01-17",22.962,20.3183333333333,24.68,24.68,22.4688524590164,19.392
"2019-04-01-18",22.9073333333333,20.4148333333333,24.5016666666667,24.5016666666667,21.06,19.6006666666667
"2019-04-01-19",22.9613333333333,20.5496666666667,24.4666666666667,24.4666666666667,19.5233333333333,19.8155
"2019-04-01-20",23.0643333333333,20.70775,24.4633333333333,24.4633333333333,17.3916666666667,19.9989166666667
"2019-04-01-21",23.1156666666667,20.8293333333333,24.4083333333333,24.4083333333333,15.4216666666667,20.1325833333333
"2019-04-01-22",23.122,20.9123333333333,24.4,24.4,13.615,20.2013333333333
"2019-04-01-23",23.0333333333333,20.9386666666667,24.3466666666667,24.3466666666667,11.9283333333333,20.205
"2019-04-02-00",22.946,20.936,24.3,24.3,10.64,20.1625833333333
"2019-04-02-01",22.9203333333333,20.9263333333333,24.3016666666667,24.3016666666667,9.96333333333333,20.0860833333333
"2019-04-02-02",22.858,20.8796666666667,24.3016666666667,24.3016666666667,8.65666666666667,19.96775
"2019-04-02-03",22.723,20.802,24.2516666666667,24.2516666666667,8.07666666666667,19.81725
"2019-04-02-04",22.5924166666667,20.739,24.3016666666667,24.3016666666667,7.42666666666667,19.6541666666667
"2019-04-02-05",22.4590833333333,20.6685,24.305,24.305,7.12833333333333,19.47675
"2019-04-02-06",22.3403333333333,20.591,24.38,24.38,6.92833333333333,19.29475
"2019-04-02-07",22.2456666666667,20.542,24.45,24.45,6.70333333333333,19.1175
"2019-04-02-08",22.189,20.5006666666667,24.545,24.545,8.26333333333333,18.9525
"2019-04-02-09",22.178,20.5021666666667,24.7083333333333,24.7083333333333,11.831746031746,18.8431666666667
"2019-04-02-10",22.106,20.383,24.7033333333333,24.7033333333333,15.2973684210526,18.7394166666667
"2019-04-02-11",22.1003333333333,20.2708333333333,24.7416666666667,24.7416666666667,17.7541176470588,18.6709166666667
"2019-04-02-12",22.1523333333333,20.2108333333333,24.7366666666667,24.7366666666667,18.3521126760563,18.6451666666667
"2019-04-02-13",22.1826666666667,20.1421666666667,24.6316666666667,24.6316666666667,19.9131147540984,18.6608333333333
"2019-04-02-14",22.3276666666667,20.1446666666667,24.6233333333333,24.6233333333333,20.9169230769231,18.77475
"2019-04-02-15",22.3995833333333,20.1696666666667,24.5316666666667,24.5316666666667,21.3360655737705,18.9414166666667
"2019-04-02-16",22.5003333333333,20.2503333333333,24.52,24.52,20.4983333333333,19.12425
"2019-04-02-17",22.6345833333333,20.365,24.53,24.53,19.9016666666667,19.3181666666667
"2019-04-02-18",22.729,20.4701666666667,24.5016666666667,24.5016666666667,19.145,19.5151666666667
"2019-04-02-19",22.8053333333333,20.60325,24.4866666666667,24.4866666666667,18.0183333333333,19.6995
"2019-04-02-20",22.84,20.7106666666667,24.425,24.425,16.72,19.8394166666667
"2019-04-02-21",22.828,20.79,24.4033333333333,24.4033333333333,16.1633333333333,19.9358333333333
"2019-04-02-22",22.8003333333333,20.8463333333333,24.4,24.4,15.6483333333333,19.9853333333333
"2019-04-02-23",22.724,20.8766666666667,24.3583333333333,24.3583333333333,14.4533333333333,19.991
"2019-04-03-00",22.6415,20.8833333333333,24.305,24.305,14.2916666666667,19.9646666666667
"2019-04-03-01",22.5586666666667,20.8743333333333,24.3016666666667,24.3016666666667,13.5483333333333,19.91875
"2019-04-03-02",22.45025,20.838,24.3,24.3,14.17,19.8538333333333
"2019-04-03-03",22.3683333333333,20.7986666666667,24.3,24.3,13.5533333333333,19.7735
"2019-04-03-04",22.28425,20.7616666666667,24.3,24.3,13.0216666666667,19.68875
"2019-04-03-05",22.2273333333333,20.7336666666667,24.3083333333333,24.3083333333333,11.9016666666667,19.604
"2019-04-03-06",22.1803333333333,20.71375,24.3916666666667,24.3916666666667,12.685,19.5165
"2019-04-03-07",22.127,20.686,24.405,24.405,12.31,19.4234166666667
"2019-04-03-08",22.1003333333333,20.6628333333333,24.4633333333333,24.4633333333333,13.5133333333333,19.3571666666667
"2019-04-03-09",22.1586666666667,20.6146666666667,24.5,24.5,14.2983333333333,19.2964166666667
"2019-04-03-10",22.1906666666667,20.5463333333333,24.5116666666667,24.5116666666667,15,19.2470833333333
"2019-04-03-11",22.2073333333333,20.5005833333333,24.52,24.52,15.465,19.214
"2019-04-03-12",22.0738333333333,20.4666666666667,24.4166666666667,24.4166666666667,12.3606557377049,19.1796666666667
"2019-04-03-13",21.9853333333333,20.4448333333333,24.3533333333333,24.3533333333333,8.28387096774193,19.1429166666667
"2019-04-03-14",21.9736666666667,20.4721666666667,24.4233333333333,24.4233333333333,6.23666666666667,19.1284166666667
"2019-04-03-15",21.922,20.4703333333333,24.4416666666667,24.4416666666667,6.22,19.0894166666667
"2019-04-03-16",21.7833333333333,20.4031666666667,24.4066666666667,24.4066666666667,5.75333333333333,18.9775833333333
"2019-04-03-17",21.6299166666667,20.3051666666667,24.3983333333333,24.3983333333333,5.29,18.839
"2019-04-03-18",21.4893333333333,20.2106666666667,24.4016666666667,24.4016666666667,4.80833333333333,18.6935833333333
"2019-04-03-19",21.3593333333333,20.154,24.4083333333333,24.4083333333333,3.88,18.5433333333333
"2019-04-03-20",21.27375,20.1508333333333,24.5,24.5,2.58666666666667,18.3918333333333
"2019-04-03-21",21.1856666666667,20.1515,24.5183333333333,24.5183333333333,1.48,18.2334166666667
"2019-04-03-22",21.0749166666667,20.1271666666667,24.5133333333333,24.5133333333333,1.08666666666667,18.0669166666667
"2019-04-03-23",20.9856666666667,20.1211666666667,24.5316666666667,24.5316666666667,1.22833333333333,17.9013333333333
"2019-04-04-00",20.8953333333333,20.1363333333333,24.525,24.525,1.33,17.7423333333333
"2019-04-04-01",20.80925,20.1501666666667,24.5383333333333,24.5383333333333,1.19666666666667,17.59175
"2019-04-04-02",20.7493333333333,20.1593333333333,24.6416666666667,24.6416666666667,0.9,17.4534166666667
"2019-04-04-03",20.67725,20.1735,24.7566666666667,24.7566666666667,0.405,17.325
"2019-04-04-04",20.5836666666667,20.1156666666667,24.7566666666667,24.7566666666667,0.46271186440678,17.1926666666667
