"Time","Mur_Temp_2_2.mean","Mur_Temp_2_3.mean"
"2019-04-03-04",16.8880833333333,15.975
"2019-04-03-05",16.7656666666667,15.7315
"2019-04-03-06",16.6241666666667,15.4765
"2019-04-03-07",16.4783333333333,15.3099166666667
"2019-04-03-08",16.3390833333333,15.3621666666667
"2019-04-03-09",16.2731666666667,15.6875
"2019-04-03-10",16.2816666666667,15.9288333333333
"2019-04-03-11",16.33825,16.2176666666667
"2019-04-03-12",16.4301666666667,16.2645
"2019-04-03-13",16.4714166666667,15.6661666666667
"2019-04-03-14",16.3501666666667,14.7905833333333
"2019-04-03-15",16.0948333333333,14.2128333333333
"2019-04-03-16",15.8303333333333,13.9588333333333
"2019-04-03-17",15.6044166666667,13.6994166666667
"2019-04-03-18",15.394,13.3675833333333
"2019-04-03-19",15.1716666666667,12.9585
"2019-04-03-20",14.9215,12.561
"2019-04-03-21",14.6605,12.1485833333333
"2019-04-03-22",14.3865,11.703
"2019-04-03-23",14.1093333333333,11.3875
"2019-04-04-00",13.8471666666667,11.11975
"2019-04-04-01",13.6065833333333,10.8896666666667
"2019-04-04-02",13.3861666666667,10.672
"2019-04-04-03",13.1763333333333,10.42
"2019-04-04-04",12.9760833333333,10.2171666666667
"2019-04-04-05",12.7890833333333,10.0565833333333
"2019-04-04-06",12.6208333333333,9.901
"2019-04-04-07",12.4573333333333,9.70325
"2019-04-04-08",12.2948333333333,9.57375
"2019-04-04-09",12.1455833333333,9.48216666666667
"2019-04-04-10",12.0231666666667,9.76375
"2019-04-04-11",12.0180833333333,10.41975
"2019-04-04-12",12.15225,10.90775
"2019-04-04-13",12.3389166666667,11.4043333333333
"2019-04-04-14",12.5490833333333,11.89175
"2019-04-04-15",12.786,12.4025
"2019-04-04-16",13.01475,12.7165833333333
"2019-04-04-17",13.29775,12.961
"2019-04-04-18",13.5664166666667,13.2485
"2019-04-04-19",13.786,13.20275
"2019-04-04-20",13.88925,12.5876666666667
"2019-04-04-21",13.8189166666667,12.0821666666667
"2019-04-04-22",13.6754166666667,11.66075
"2019-04-04-23",13.4986666666667,11.2634166666667
"2019-04-05-00",13.3049166666667,10.9153333333333
"2019-04-05-01",13.1040833333333,10.59325
"2019-04-05-02",12.9004166666667,10.2774166666667
"2019-04-05-03",12.6900833333333,9.97808333333333
"2019-04-05-04",12.4765,9.69725
"2019-04-05-05",12.2696666666667,9.44258333333333
"2019-04-05-06",12.0763333333333,9.21233333333333
"2019-04-05-07",11.8935,9.02041666666667
"2019-04-05-08",11.7253333333333,9.00383333333333
"2019-04-05-09",11.6104166666667,9.25641666666667
"2019-04-05-10",11.5991666666667,9.67283333333333
"2019-04-05-11",11.6669166666667,10.2515
"2019-04-05-12",11.8148333333333,10.9118333333333
"2019-04-05-13",12.063,11.5798333333333
"2019-04-05-14",12.3646666666667,12.3173333333333
"2019-04-05-15",12.7125,13.107
"2019-04-05-16",13.0666666666667,13.8938333333333
"2019-04-05-17",13.522,14.5681666666667
"2019-04-05-18",13.998,15.07675
"2019-04-05-19",14.3961666666667,15.1200833333333
"2019-04-05-20",14.6405,14.55925
"2019-04-05-21",14.6905833333333,14.0374166666667
"2019-04-05-22",14.6355833333333,13.6095833333333
"2019-04-05-23",14.54075,13.2329166666667
"2019-04-06-00",14.4128333333333,12.86225
"2019-04-06-01",14.2593333333333,12.52075
"2019-04-06-02",14.0971666666667,12.2499166666667
"2019-04-06-03",13.9320833333333,12.0189166666667
"2019-04-06-04",13.7763333333333,11.8269166666667
"2019-04-06-05",13.6276666666667,11.6476666666667
"2019-04-06-06",13.4865833333333,11.4689166666667
"2019-04-06-07",13.3469166666667,11.2759166666667
"2019-04-06-08",13.2209166666667,11.3606666666667
"2019-04-06-09",13.1583333333333,11.6964166666667
"2019-04-06-10",13.1975833333333,12.2805833333333
"2019-04-06-11",13.3413333333333,12.9156666666667
"2019-04-06-12",13.5671666666667,13.6126666666667
"2019-04-06-13",13.8690833333333,14.3808333333333
"2019-04-06-14",14.2216666666667,15.0290833333333
"2019-04-06-15",14.5811666666667,15.4265833333333
"2019-04-06-16",14.8994166666667,15.6178333333333
"2019-04-06-17",15.1483333333333,15.47925
"2019-04-06-18",15.28375,15.1461666666667
"2019-04-06-19",15.3153333333333,14.73775
"2019-04-06-20",15.2745833333333,14.3579166666667
"2019-04-06-21",15.1838333333333,14.0543333333333
"2019-04-06-22",15.0775,13.8
"2019-04-06-23",14.9623333333333,13.6211666666667
"2019-04-07-00",14.8555833333333,13.48225
"2019-04-07-01",14.75325,13.3123333333333
"2019-04-07-02",14.6435833333333,13.13075
"2019-04-07-03",14.5306666666667,12.9828333333333
"2019-04-07-04",14.4224166666667,12.8890833333333
"2019-04-07-05",14.32775,12.8023333333333
"2019-04-07-06",14.2445,12.6895833333333
"2019-04-07-07",14.1639166666667,12.62125
"2019-04-07-08",14.0934166666667,12.5846666666667
"2019-04-07-09",14.0373333333333,12.62525
"2019-04-07-10",14.0118333333333,12.851
"2019-04-07-11",14.0529166666667,13.3091666666667
